state,pincode_count,mean_NMR,median_NMR,std_NMR,mean_NMR_adult,total_enrollments,total_updates,state_NMR
Chandigarh,15,24.76243110637654,24.276041666666668,10.566242605164309,20.937149260469713,2753,84071,29.537958590628406
Daman & Diu,1,28.105263157894736,28.105263157894736,,25.473684210526315,95,2765,28.105263157894736
Manipur,52,31.415348685574386,26.500527161361582,21.86977553197118,26.91618352139303,13445,301345,21.41316474525846
Chhattisgarh,250,20.595673944736284,17.16385271479093,15.21548938040511,18.789570147401115,102992,2002674,18.444947180363524
Andhra Pradesh,1085,16.45530798481933,14.582089552238806,9.124987847264947,13.970795027987695,133866,2334163,16.436563429100744
Andaman & Nicobar Islands,1,16.17105263157895,16.17105263157895,,14.342105263157896,76,1305,16.17105263157895
West Bangal,1,16.133004926108374,16.133004926108374,,15.541871921182267,203,3478,16.133004926108374
Andaman and Nicobar Islands,6,14.339424584844066,12.037367405978785,8.455800995693119,13.0806676849348,281,4399,14.654804270462634
Delhi,90,15.812665623372292,13.914442700156986,10.090668887158577,13.927280222858968,94487,1438664,14.22605226115762
Goa,26,14.206991391855773,14.157189721159103,3.930496063597484,12.792827980860222,1590,23557,13.815723270440252
Maharashtra,1322,17.451881574447945,14.864017542693865,11.116518223430981,16.654608412275458,365061,4967799,12.608133983087757
Telangana,538,12.882099789896781,11.796070647674444,6.732572496826869,11.006501731991861,121429,1533385,11.627831901769758
Uttarakhand,196,10.460290139085455,9.248943236714975,5.200110913636657,9.241048212652487,36678,454156,11.382245487758329
Pondicherry,7,10.424543517206098,10.26431718061674,4.241455089908134,8.68930384211748,909,11182,11.3014301430143
Tripura,66,12.557058299602044,11.009191176470587,7.482140168959234,11.345714786989916,11051,132020,10.946430187313366
Haryana,279,10.270911993399354,8.689277899343544,6.8419853011515395,8.943744697784997,97965,1163183,10.873454805287603
Punjab,389,11.368308502647137,9.991902834008098,5.927241905118398,10.64049382833744,74475,858007,10.520738502853307
Daman and Diu,1,9.53061224489796,9.53061224489796,,8.285714285714286,49,516,9.53061224489796
West Bengal,1092,10.959740042181252,10.021977177967962,5.078640216633166,10.290728187988483,371892,3820126,9.272138147634259
Tamil Nadu,1771,8.727089038106666,7.92,4.177164160909615,7.312595992744392,215961,2170356,9.049758984261047
Kerala,866,8.87287974341896,8.364443084455324,3.516838983559728,8.043410165700667,66222,658049,8.937014889311708
Puducherry,19,9.542119198527935,9.441176470588236,4.795060267837521,7.970352695065126,2406,22933,8.53158769742311
Sikkim,17,10.424907077579416,10.970059880239521,4.158244143454887,9.56776216719871,2157,20037,8.289290681502086
Odisha,771,8.827897667374424,8.347682119205299,3.5799948854185546,7.51929398181715,114510,1047575,8.14832765697319
Jharkhand,330,9.526979765031832,8.41159721748619,5.344742097087579,8.797001233475674,157119,1396670,7.889249549704364
Himachal Pradesh,212,7.022526662074464,6.544444444444444,3.6761409919135852,5.981039562604239,14143,122826,7.6845789436470335
Uttar Pradesh,1631,9.556389015399407,9.066825775656325,4.1460295516750465,8.519248951936978,1017375,8528130,7.38248433468485
Jammu and Kashmir,178,7.181739597516634,6.399155061805664,4.070292442361241,6.150200657402657,48747,405409,7.316593841672308
Rajasthan,950,8.014538216821348,6.848897530403157,5.469153133509219,7.221915922331868,348098,2815246,7.087509839183219
Arunachal Pradesh,35,10.380025067821238,9.468468468468469,7.581309469512278,8.592069933855432,4139,33224,7.027059676250302
Bihar,864,9.376328169084413,8.831877792467214,4.781161179317933,8.542837944163653,609116,4807923,6.893279769370695
Karnataka,1122,7.3261914829100805,6.523369565217392,4.187594323677894,6.050102761198056,219915,1662879,6.561462383193507
Orissa,43,6.557194638045702,6.40625,2.4913237650922335,5.600982379149424,7096,50995,6.186443066516348
Ladakh,6,9.870887585803551,6.95828331332533,8.723531345782785,7.494038384584603,715,4870,5.811188811188811
Mizoram,30,9.448145873871052,9.648248465149873,6.309836627228244,7.968696527657259,5661,37949,5.703585938880057
Gujarat,843,7.530519295436323,6.889447236180905,4.842484771695096,6.498690821245296,277798,1792842,5.453761366172543
Madhya Pradesh,728,5.50009346738217,4.490514560361889,4.002238684048989,4.583287158342093,493548,2910524,4.897144755930528
Lakshadweep,1,4.777777777777778,4.777777777777778,,4.138888888888889,36,208,4.777777777777778
Dadra and Nagar Haveli,3,4.910531348363411,3.8013245033112586,2.277372012478971,3.6506088193118056,1735,8108,3.6731988472622477
Assam,530,4.678473874943245,3.9167129629629627,3.323558041478793,4.228537470169028,230561,1008317,3.3733198589527285
Nagaland,33,2.943460280646186,1.217948717948718,3.7288134619076376,2.4820318767571625,15413,35765,1.3204437812236425
Meghalaya,59,-0.05475162553559568,-0.3354037267080745,0.8172808548726479,-0.14257791058934166,108677,86337,-0.2055632746579313
100000,1,-0.9908256880733946,-0.9908256880733946,,-0.9908256880733946,218,2,-0.9908256880733946
