state,egz_candidate_count,UER,UER_18_plus,total_enrollments,total_updates,avg_UER,avg_UER_18+
Maharashtra,482,29.50103109912731,28.529364453674727,69639,1961937,29.5,28.53
Andhra Pradesh,302,28.718386156783648,24.726504530510816,38305,1151817,28.72,24.73
Chhattisgarh,118,32.600767490503436,30.027388294589304,47648,1457860,32.6,30.03
West Bengal,104,22.91362219373389,21.828874776492203,19405,416653,22.91,21.83
Telangana,87,25.7235686964401,22.818064338069526,12293,309246,25.72,22.82
Punjab,53,23.688756666112443,22.135844141166473,10169,244823,23.69,22.14
Uttar Pradesh,47,22.935234711587384,20.81281821925334,14509,333335,22.94,20.81
Rajasthan,47,25.58233822185006,24.134363103039533,10864,266345,25.58,24.13
Tamil Nadu,43,23.428271595643608,20.782575572166703,7523,183928,23.43,20.78
Bihar,32,25.664406215169194,23.780441652450257,9808,229565,25.66,23.78
Manipur,32,45.614035735374834,39.49536836217611,6073,253035,45.61,39.5
Delhi,29,28.406300135529765,25.1644688363543,21305,586047,28.41,25.16
Haryana,26,26.863617497966683,23.361233684565402,10239,253815,26.86,23.36
Jharkhand,22,24.48351984171402,23.18101695403951,3414,85398,24.48,23.18
Gujarat,21,24.265934369063263,21.42864193415802,5046,121809,24.27,21.43
Uttarakhand,18,24.053335491484532,21.56114070962353,6550,157193,24.05,21.56
Kerala,16,21.375977797134556,19.476065615758287,921,19371,21.38,19.48
Karnataka,15,28.454515847167986,24.124022374343642,3565,95070,28.45,24.12
Tripura,13,25.363607360525275,23.110386434657308,1367,32815,25.36,23.11
Chandigarh,11,30.154342488191524,25.47198586957596,2423,79367,30.15,25.47
Odisha,9,22.0366457795884,19.611331867121088,759,16537,22.04,19.61
Madhya Pradesh,6,23.485449088472212,19.625234349502694,2341,55741,23.49,19.63
Arunachal Pradesh,4,26.87492235703342,23.106256987866992,151,4124,26.87,23.11
Mizoram,3,23.38719992129083,19.52048078184442,249,5648,23.39,19.52
Assam,3,21.071899558460114,19.721171874750453,687,13969,21.07,19.72
Goa,3,21.4693313222725,19.691535588594412,129,2740,21.47,19.69
Jammu and Kashmir,3,22.78145297076681,19.22193304580139,1410,32589,22.78,19.22
Andaman and Nicobar Islands,2,25.0495337995338,23.143065268065268,85,2205,25.05,23.14
Daman & Diu,1,29.105263157894736,26.473684210526315,95,2765,29.11,26.47
Himachal Pradesh,1,19.543624161073826,17.526845637583893,298,5824,19.54,17.53
Ladakh,1,24.41176470588235,18.735294117647058,34,830,24.41,18.74
Puducherry,1,21.357142857142858,18.414285714285715,70,1495,21.36,18.41
Sikkim,1,20.2,18.446153846153845,65,1313,20.2,18.45
